,Product_1,Product_2,Product_3,Product_4,Product_5
54056610,81926706,55457074,53978256,67709566,77348600
77870921,54616399,74572230,63912442,36710007,25325318
35607267,35373097,79965318,67634480,54406343,56365197
72519492,12411687,22413470,70772235,72560404,58240250
70772235,25749035,54406343,48102821,74247140,22413470
1059892,4028301,234886,15682170,3220143,1060082
54385590,58298176,74989061,71674971,72801647,11239836
487524,487511,56922762,10791582,487532,64354130
58566938,76101329,54935451,58899265,54384395,75754994
359484,122012,359483,555019,11914559,359480
56196502,916764,2462825,233129,50082914,554912
48100590,55469774,51884751,54383925,44247165,59084364
7817447,68025746,71907010,71893707,68088752,45070823
37474291,2860621,1097744,50326880,3171419,8326109
54616399,19772651,58736477,58731373,25325318,74572230
14069536,31602057,50317255,7320225,20139040,51571587
4252075,25732951,10590207,588800,11582921,3953455
56612173,23410785,71656427,72217122,72540740,56597141
311639,26029837,46156090,2067059,15129417,73992109
58390133,20997191,59301695,19336345,58473284,34531250
36780619,52333193,56365197,41574489,46695756,27977454
7739073,4331913,2774881,50237107,32111995,6919753
71948433,71656427,72455227,23410785,56308749,56306151
125781,680611,855018,855600,126003,126000
41574489,52333193,56365197,70817873,46621334,46695756
899654,31897051,299461,23362701,171745,899588
59130781,35373097,22413470,52889826,52333193,53501421
59195378,75754994,54384395,58566938,57309752,71101151
76192331,360738,5403959,26288854,19772651,48701295
67907870,25078249,76781356,4312979,73165085,72746857
4539349,32021463,2546979,34520643,25248696,40691443
13580400,13145075,21134184,4281649,4028301,19242072
19336345,58390133,59301695,20997191,34531250,58473284
71197069,68125768,71505389,67262439,68125744,68467585
75551911,35373097,79965318,48273751,52889826,52333193
64441281,70772235,61224691,68528166,35344651,80629901
42644889,11239836,75301142,74860089,44147028,74989061
54626520,46472383,67056051,54487123,73261935,54485907
67262439,68125768,71505389,71197069,68125744,68467585
24852048,23459272,46623654,29572815,58624734,62445418
54680052,51884751,57440329,65395332,59084364,54383925
19800169,24989957,8159799,38151960,8023300,1714729
76161572,32829823,72217122,55719951,75837832,56799621
11239836,15595231,42644889,74989061,58298176,74860089
11216859,58298176,61206696,11239836,13335112,15595231
15013997,23306883,8003987,7589409,23482495,53447698
26348659,48273751,52333193,72928043,52889826,35373097
1060082,54017205,234886,15682170,3220143,1059892
4492151,13572054,54639263,41195639,52402442,52089160
1324787,255023,74246209,11477102,3220163,1059170
72575377,75641272,76101329,39056842,76310232,75557997
11921226,55897,916764,233129,554912,356188
20478281,52889826,26348659,72928043,35373097,52333193
70115294,56308749,23410785,19907399,58251883,20204021
38151960,24989957,8159799,1714729,8023300,38144690
39056842,76777564,76101329,76310232,72575377,75557997
54665,74267277,299461,203734,299431,389145
42648299,54889765,59482840,17038778,26341625,7494785
14868418,26348659,72928043,58291928,58298489,16860936
70914768,65104045,19583872,37944329,66541696,56313543
41318362,32586832,47321729,51884751,60030176,46841782
56885678,72928043,35373097,52889826,26348659,52333193
73488819,68125744,67262439,75754994,58566938,73980687
35420153,8141868,69238917,19772753,49658272,23306883
5844567,2054469,5987217,5986195,5986499,14078676
71505389,54384395,68467585,71197069,67262439,68125744
680611,125781,126000,126003,855600,855018
23476288,31602057,7320225,70772235,51571587,55469774
4312979,299431,25078249,389145,203734,54665
80030065,35373097,26348659,72928043,52333193,52889826
591960,51571587,31602057,19408798,2638665,23368835
72820927,54384395,75840202,72820664,72820740,72821318
52945747,71291990,58866777,52539829,74955104,74572230
16385902,10590207,25732951,1044890,3953455,4252075
22413470,72928043,52889826,56365197,48273751,52333193
56889347,233129,299461,899588,56859344,56930154
9830444,54665,899654,389145,299431,299461
2774881,7739073,4331913,6919753,11443614,8299504
20884713,71896003,38762682,71892315,45168294,13367716
59084364,48087407,58671786,48091364,51884751,54383925
32933095,10680458,6986847,43761442,12110556,13302966
60039593,249953,234886,3220143,1059892,1060082
74141526,70772235,31602057,75574549,7320225,74623725
916764,203734,515550,4312979,691576,916784
637038,233212,24505347,36189537,34476640,19359126
35292559,74741901,64319112,375565,69459839,35278834
7589409,56384890,8141868,51668230,51668332,8003987
51510460,26289675,2001029,51511070,53639147,3524487
249953,1059892,1060082,25062191,234886,3220143
14790642,31602057,25749035,52333193,74247140,70772235
3524487,51511070,2001029,26289675,53639147,51510460
75754994,52562646,76198199,58899265,54384395,58566938
35726908,72560404,35726089,29572815,855600,22336000
23518127,294065,23362701,171745,21440975,899654
50937043,7140249,36710007,37944329,66541696,67975846
58010310,22413470,52333193,46695756,41574489,53297644
59050694,35373097,52889826,41574489,52333193,76134137
8470266,62269749,70661051,49498981,76134137,58930785
54485907,67056051,54487123,46472383,54626520,73261935
233157,233212,4312979,54665,691576,9668037
56799815,14519500,57447641,67709566,51593115,53978256
126000,855018,680611,855600,126003,125781
1516999,3770729,1457747,461040,8090713,1517005
72540740,56612173,76161572,72217122,56799621,56597141
227404,48493605,60030176,44231732,44232101,1057882
17453973,32829823,38997194,72217122,56799621,8122699
63171394,53631890,58470334,25696258,50253867,66708181
7395667,52675635,74558946,12485554,11794382,3040151
44232101,227404,74246209,1057882,60030176,44231732
53501421,35373097,22413470,59130781,52889826,52333193
73258681,79965318,75551911,70772235,54406343,67634480
52107286,52889826,52333193,35373097,26348659,46563491
47081914,48592245,52220154,40737659,34557311,22153584
57524517,35460128,53447698,78010530,71523843,72290186
56859344,52241344,299431,7770389,56889347,56930154
4331913,8299504,2774881,11443614,6919753,50237107
77125504,359483,11477952,122012,43349411,208248
54628125,52945747,54626520,54485907,54487123,55210024
6431175,10334523,9996258,49863949,9992091,9982809
56922762,10791582,487524,487511,64354130,487532
70761592,51049077,51571587,4897521,21578204,74623725
77348600,56799815,55457074,67709566,53978256,54056610
73179180,72308418,487532,56922762,71672203,73315307
56049649,8023300,24989957,20017816,32586832,33142561
47420682,50319688,25770121,62715859,28733908,68528166
44217261,57447641,67709566,73763817,55457074,56025961
46621334,72928043,70817873,56365197,46695756,41574489
26029929,16766952,25696258,53631890,50253867,14313154
57659050,19362591,33307083,53297644,76105382,77692525
53547831,63171394,46037816,17629146,53547999,17629257
58470334,23790776,72014868,66708181,21569900,21572053
77030103,55571724,56873256,68358114,51343843,51030375
17629146,46037816,32399542,53547831,17629257,53547999
59090334,7783307,8201864,56320903,45661782,73936929
10606661,52295579,21857291,7494785,75993812,26708402
32974138,38118750,66138337,56597141,8122699,53611551
4028301,1059892,35460128,28571379,19242072,13580400
45168294,52631369,21310789,10282851,13367716,38762682
77162112,44217261,53978256,67709566,55457074,76480235
1935009,13580400,19242072,7320225,14069536,20139040
38144690,8159799,13918145,8023300,38151960,1714729
71291990,66746416,55210024,24932961,74955104,74572230
19821434,8023974,59482840,42648299,7494785,54889765
54406343,52889826,79965318,56365197,52333193,67634480
53297644,52333193,22413470,48273751,49867500,58010310
10703290,8159799,8023300,1714729,17884435,23515481
7320225,50317255,31602057,74623725,51571587,14069536
379462,104180,356791,556556,8378816,375565
3416201,74853954,56515226,65074378,28937832,3424667
75557997,58566938,76310232,76101329,72575377,39056842
50424465,7395667,3040151,62266000,12485554,11794382
66708181,10671551,53631890,14313154,25696258,50253867
359620,32933095,13302966,6986847,10673415,12736752
52241344,299461,23463787,299431,14313154,53082795
75641272,58566938,73488819,45070823,72575377,76310232
50319688,52889826,48273751,52333193,22413470,56365197
56306151,72455227,71656427,23410785,56308749,71948433
72455227,73637020,72728356,73463150,74853592,72014868
72881850,41318362,60030176,73174156,63453468,76589453
66511024,73117254,73116940,25062191,75574549,52487273
54360419,70772235,1060082,44232101,511328,49548043
25325318,63912442,66541696,54616399,36710007,33342185
48091364,48100590,48087407,51884751,54383925,59084364
27977454,52889826,46695756,56365197,52333193,36780619
35735258,75337445,54626520,24932961,36710007,67975846
68773594,32933095,12111114,11242886,6986847,11213554
77718549,51668230,71938293,8141868,38144690,25062191
45070823,7817447,71896003,68088752,71907010,71893707
4497817,45125717,70781319,74348608,37000902,50326792
79887552,52333193,35373097,80133022,79952488,79857302
55925516,74141526,7320225,49498981,74623725,58930785
59168467,74623725,14790642,74141526,75574549,70772235
58291928,22413470,16860936,52333193,14868418,58298489
702134,203734,55897,691576,73165085,702132
55897,54665,233212,299431,233129,8159498
15956101,77718549,46621334,13145075,19242072,21134184
71051598,13151574,56612173,71938164,52070229,71052709
21569900,66708181,58470334,57656568,23790776,21572053
73987485,50326880,3171419,8326109,1097744,2860621
68125768,68125744,67262439,68135096,71197069,68467585
46755511,12041791,19991454,64319112,12370066,14445247
73165085,916764,4312979,67907870,702132,702134
23790776,20202128,58470334,57656568,21572053,21569900
58473284,58390133,59301695,20997191,34531250,19336345
49658272,43017581,51668230,51668332,69238917,19772753
5986499,5844567,2054469,14078676,5987217,5986195
3953455,588800,10590207,25732951,11582921,4252075
643138,1011522,10576733,14785024,4897521,975370
36710007,25325318,73261935,46472383,54487123,75337445
76777564,39056842,75557997,72575377,76310232,76101329
2462825,691576,50082914,4312259,233129,554912
71101151,58566938,75754994,27977454,59195378,57309752
51030375,3922389,56873256,74274442,4216333,51343843
1044890,16385902,3953455,11241055,2883909,4252075
1059170,74246209,3220163,255023,11477102,1324787
122012,588800,361277,360660,36189537,515551
74890302,71656427,72014868,56799621,75837832,76161572
68467585,68125768,60843632,67262439,68125744,71197069
23368835,31602057,15388586,19408798,2638665,591960
44227610,11477102,57524517,74246209,15682170,44232899
23459272,41195639,55049362,38458616,12567795,46623654
56308749,76161572,56597141,56306151,71948433,23410785
74496917,61206696,11239836,74860089,75301142,74629311
702132,233212,55897,73165085,691576,702134
66622335,77756018,43349411,7770389,45842739,14990454
51133790,299431,52241344,389145,67520343,899654
31602057,70772235,74623725,7320225,14069536,51571587
12716267,72290186,38997194,33142561,57524517,7383363
52487273,19242072,37503894,7383363,48483174,25062191
52402442,54639263,52089160,4492151,52244173,13572054
7555917,37792470,55780679,47815131,12485554,11794382
21134184,38144690,15956101,4281649,13580400,19242072
13572054,55049362,52244173,4492151,52089160,52402442
8299504,7739073,4331913,6919753,2774881,11443614
45661782,53447698,59322576,73936929,60030176,57524517
71893707,68100167,45070823,71896003,68088752,71907010
55571724,4216333,51030375,74274442,51119854,56873256
74907707,54616635,21313534,66578633,23292023,74908430
72746857,208248,8159079,67907870,691755,180912
74629311,68847367,75301142,58393093,61206696,74496917
3040151,12485554,11794382,50424465,7395667,62266000
68358114,3922389,4216333,2669195,5371673,7734288
76310232,51370968,75641272,75557997,76777564,72575377
1524463,25696258,22436063,25468367,1524461,10671551
38997194,72217122,75837832,76161572,55719951,56799621
72796676,74955104,54628125,52945747,74572230,70524690
74247140,22413470,48102821,52333193,54406343,70772235
56020727,29572815,24852048,75510218,35726908,58624734
25248696,24489730,2546979,34520643,4539349,40691443
73315307,1501767,487524,64354130,71672203,73179180
11212346,386464,5913881,385455,21316309,7217981
53631890,25696258,66708181,26029929,14313154,50253867
11794382,47815131,7395667,50424465,7555917,12485554
61206696,74629311,72801647,58298176,74496917,75301142
9838905,66138337,76161572,75837832,32041253,58363324
72217122,71656427,66138337,76161572,55719951,56799621
7347125,21261078,56365197,52333193,20478281,22413470
81964004,32111995,68358114,3922389,2669195,7734288
4340431,586849,8130811,461038,3018149,8090713
418636,53266115,584802,10690670,362872,419024
73117254,73258681,75574549,61224691,73117102,73116940
59322576,53447698,7820533,51884751,68793627,65395332
58899265,76198199,75754994,52562646,58566938,54935451
74945616,75510675,46563491,22413470,52889826,52333193
25656707,7140249,37944329,29655357,15280632,26669160
75301142,61206696,74496917,74860089,42644889,74989061
15432912,26473455,48273751,72928043,25062191,41574489
233129,233212,299461,8159079,299431,55897
56799621,38997194,72217122,75837832,55719951,76161572
385455,11212346,7217981,21316309,5913881,386464
74456975,56612173,13151476,13151574,70847754,74457004
13335112,57440329,4810215,11239836,11216859,15595231
75993812,52295579,75302620,7494785,10606661,26708402
899588,171745,299431,299461,31897051,899654
51511070,2001029,3524487,53639147,51510460,26289675
975370,23476288,55469774,51571587,19408798,643138
53547999,32399542,46037816,53547831,17629257,17629146
78010530,74246209,71523843,54017350,57524517,72290186
126003,680611,855018,855600,125781,126000
555019,10140056,359483,11914559,359480,359484
208248,11241055,122012,515551,691755,180912
72308191,73179180,73315307,1501767,72308418,72307761
33360472,54889765,17038778,7494785,54894940,2034021
34790708,51030375,51343843,50237107,52087768,28912009
47271217,70895043,23306883,62737062,15013997,23482495
25062191,19772753,38144690,77718549,8141868,48483174
359492,19362591,375565,104180,418556,376848
1819263,2054629,5904663,8112536,5911429,31142917
17929212,10671551,5511229,22436063,25468367,1524461
74737208,34942635,63453468,12539362,76589453,72881850
26359414,21459682,74989061,58298176,11239836,11676550
72034454,35344651,71523843,55996377,66510277,58272980
26708402,540865,21857291,75993812,7494785,10606661
73992109,15226911,46156090,2067059,15129417,311639
71938293,7589409,38144690,51668230,25062191,51668332
38215482,58390133,34531250,58473284,20919759,52093852
6376015,13856052,6009539,6039457,6039405,14116368
42564424,294065,11239836,24408779,10385313,42194494
50227423,25248696,34520643,28736624,40691443,4539349
12527803,10697849,595607,72308267,31262507,416978
13781962,66650870,56515226,71655498,24865067,14265753
58251883,23410785,76161572,72217122,55719951,38997194
515550,916784,916764,4312979,360660,515551
51571587,70772235,50317255,31602057,7320225,14069536
79952488,52333193,79887552,79965318,79857302,80133022
47450066,74890302,55719951,44887774,75837832,66138337
26341625,6734149,21857291,42648299,7494785,17038778
10576733,1011522,643138,14785024,73922514,25770121
55210024,71291990,66746416,54628125,54487123,74955104
4889751,21047980,35726908,59348238,59471077,17019841
15280632,58731373,19583872,66541696,37944329,29655357
14519500,23057599,56799815,49636672,53978256,48701295
8281099,4727509,31547651,11715709,7383363,44911333
7734288,68358114,32111995,3922389,2669195,5371673
58340599,53056161,53080935,23518127,54002739,294065
16718181,58930785,10793468,55925516,8470266,51059393
56930154,23463787,299431,299461,56889347,56859344
58624734,35373097,62445418,50319688,24852048,29572815
9960538,73315307,64354130,8090713,5899299,487524
44232899,54017205,11477102,74246209,15682170,44227610
72004658,51668332,25062191,19772753,7820533,49658272
44106406,68125744,68125768,71505389,68467585,71197069
4312259,514927,233129,2462825,50082914,554912
54889765,19821434,33360472,42648299,7494785,54894940
2054629,2001029,6039405,6412951,5987217,5911429
50817650,52889826,35373097,22413470,52333193,48273751
10581170,57452525,3237483,14681554,67069703,58251130
524227,502118,502088,447638,3311319,502113
51059393,4897521,70761592,8470266,31602057,16718181
14089823,74247140,25749035,14790642,70772235,31602057
75557002,74556930,75320704,75621718,75321722,74556971
57656568,63171394,58470334,21572053,21569900,23790776
58363324,21299202,9838905,51668230,51668332,56384890
6734149,17038778,21857291,48464389,7494785,53250152
26292596,6376015,34177220,6841341,53065465,13145075
46623654,41195639,55049362,38458616,12567795,23459272
59348238,37000902,37000912,4889751,17019841,59471077
51720703,19242072,14069536,51571587,50319688,20139040
254794,44231732,60030176,44232101,227404,1057882
73768914,72014868,73463150,73637020,72455227,74853592
19408798,2638665,31602057,23368835,591960,975370
28736624,588800,11241055,34520643,50227423,21353546
66620077,7975728,9355345,52241344,56889347,56288980
56313543,42631737,57484728,37944329,65104045,66541696
73324095,74631286,60744527,44784387,25965194,8144693
16766952,53631890,68438139,26029929,14313154,50253867
14785024,73922514,1097744,53853891,3171419,25770121
71656427,76161572,55719951,72455227,56799621,72217122
25749035,72560404,54406343,52333193,22413470,70772235
19907399,23410785,38997194,25404882,70115294,20204021
6012645,6009539,6039457,6039405,28437643,6012693
13367716,20884713,38762682,21310789,45168294,10282851
24865067,66650870,56515226,71655498,13781962,14265753
16919644,9488961,27856093,15380161,19583872,55934345
53978256,14519500,57447641,67709566,51593115,56799815
311940,311976,41574489,22153584,16221071,311969
11443614,7739073,4331913,6919753,2774881,8299504
59150358,52889826,56365197,52333193,22413470,70772235
72560404,72519492,25749035,22413470,52333193,70772235
2034021,1995735,26708402,17038778,7494785,33360472
42260477,855600,23476288,55469774,73258681,7320225
68839181,70772235,61224691,58298489,24408779,73258681
58298176,11239836,51198977,67752435,54350617,71674971
691755,359484,691576,180912,72746857,208248
68793627,48493605,59084364,65395332,51884751,59322576
6010061,13856052,6009539,6376015,6039457,6039405
14707617,26289675,13114633,53639147,51510460,2001029
76101329,72575377,54384395,75557997,58566938,76777564
75510218,15849363,48592245,66940778,23503622,75520677
53082795,899588,299461,299431,23463787,52241344
19359126,23463787,299461,36189537,52241344,299431
71883135,48273751,4897521,66530645,23476288,55469774
72820740,54384395,75840202,72821318,72820927,72820664
50326792,69459839,45268753,45125717,74348608,4497817
375565,379462,356791,556556,8378816,376848
19242072,4281649,13580400,13145075,57333148,21134184
70895043,45123323,23852057,7820533,59322576,65395332
66510277,59322576,35344651,72034454,58272980,55996377
23391453,73861888,56597141,13151476,13151574,76216745
23515481,1714729,8159799,8023300,17884435,10703290
14990454,52241344,43349411,66622335,7770389,45842739
24408779,74860089,71674971,58298176,57440329,11239836
8138271,51119854,74274442,51343843,56873256,51030375
75075591,51571587,8163884,42260477,80978486,73258681
70817873,46621334,73314682,74285829,46695756,41574489
311969,26029837,22153584,16221071,311976,311940
12480771,37000902,54440051,104180,556556,375565
56458881,19772651,66541696,75337445,36710007,54487123
13781306,643138,855600,1600005,59418162,642154
255023,74246209,3220163,1324787,11477102,1059170
11891181,359483,11241055,16385902,1044890,361279
8294726,14928769,49636672,76192331,360738,48701295
74572230,66746416,24932961,52945747,71291990,74955104
55445629,71291990,55600000,74572230,34574630,74955104
14438455,168994,19285345,198233,37834745,52846433
34414903,79857302,50319688,35723184,62715859,21017060
74274442,55571724,56873256,4216333,51343843,51030375
31958424,56312920,13561036,55780679,82075493,53654257
9724992,899588,58251130,14681554,8645787,66977630
16262699,24766023,24865067,14265753,13781962,66650870
68491548,54935451,76101329,58899265,75754994,58566938
5851483,59418162,41167737,75580631,75583326,16135710
17884435,24989957,38144690,10703290,38151960,23515481
10857215,52889826,72928043,52333193,7347125,20478281
31547651,12716267,74246209,15013997,53447698,33142561
595655,1044890,10590207,588800,11241055,11522917
55049362,23459272,46623654,38458616,44009404,41195639
37834745,12370066,54693718,52846433,14438455,19285345
32829823,55719951,72217122,56597141,76161572,56799621
76085058,54639263,52089160,52402442,4492151,76126279
6009539,6012693,6039457,13856052,6376015,6039405
54487123,54626520,54485907,36710007,55210024,56458881
40796418,26093257,52889826,56885678,52333193,41574489
52502814,73807070,75540623,33132460,73121485,3527007
310993,299431,19359126,52241344,899588,310917
2063013,48464389,6734149,53250152,67564992,16980141
75337445,54485907,73261935,54487123,46472383,36710007
32586832,44231732,24989957,60030176,51884751,7820533
60039590,57524517,78010530,72290186,28252100,54017350
62715859,52333193,21017060,50319688,56365197,35723184
71896003,71892315,45070823,68088752,71893707,71907010
46695756,70817873,56365197,74285829,73314682,41574489
34574630,4432845,74955104,55600000,9793897,55445629
68125744,68125768,71505389,67262439,71197069,68467585
73314682,52333193,70817873,41574489,46695756,74285829
15590216,54384395,58566938,76198199,72575377,7994852
71641304,15096383,2020929,4727887,21221639,15377266
44231732,7820533,74246209,48493605,60030176,44232101
7770389,66622335,389145,43349411,45842739,14990454
15682170,1059892,234886,44227610,44232899,3220143
57452525,67069703,58251130,899654,14681554,899588
26093257,35373097,26348659,52889826,56885678,52333193
50317255,55469774,70772235,7320225,51571587,14069536
12485554,7395667,7555917,47815131,50424465,11794382
53924489,21614756,56833406,21221639,6715805,10603363
5987217,5911429,2054629,5986499,5986195,2054469
32591390,11477102,47271217,15013997,53447698,59166004
51640190,11522917,180912,11449087,11449535,16385902
28571379,35460128,13580400,19242072,7383363,4028301
67520343,21313534,74908430,74907707,51133790,54857317
419024,359484,10690670,584802,362872,418636
9802393,74909416,74776144,71567079,4727887,25557326
26669160,29655357,56313543,57484728,37944329,25656707
12404601,35920722,25206026,4026305,12404622,11407472
6655899,15226911,11239836,15129417,11676550,21459682
44147028,74860089,54440051,72628067,74989061,42644889
75396549,56799621,20139040,76161572,74890302,75837832
74623725,70761592,31602057,7320225,75574549,74141526
36189537,588800,360660,122012,361277,515551
68100167,71907010,45070823,71893707,68025746,71892315
68438139,4252075,14313154,11191145,9355345,16766952
77692525,71674971,2860621,73987485,76105382,57659050
55600000,74572230,74955104,55445629,34574630,71291990
76134137,52889826,58930785,53501421,8470266,59050694
74457004,71948433,72455227,44887774,74456975,70847754
54343219,51198977,54350617,58298176,71674971,67752435
58240250,72560404,25749035,74247140,70772235,72519492
5862639,2034021,7494785,6039405,13856052,5865627
28733908,55469774,8163884,10777563,51571587,31602057
554912,233129,2462825,56196502,4312259,50082914
19772651,74572230,75337445,36710007,54485907,54487123
709192,2066599,7494785,13632171,7650377,12218724
73763817,53978256,54056610,55457074,44217261,56025961
16860936,52333193,72928043,58291928,58298489,14868418
23057599,53978256,54056610,14519500,48701295,49636672
17038778,33360472,42648299,54894940,7494785,26341625
74267277,203734,299461,54665,299431,389145
8112536,3524487,31142917,2001029,5911429,1819263
21261078,67752435,22413470,52333193,20478281,7347125
7140249,29655357,17589287,42631737,57484728,37944329
45100535,47271217,45661782,65395332,59322576,48493605
16257237,688845,379462,104180,689063,10696650
126697,680611,126003,855600,125781,126000
58736477,76161572,32829823,15280632,74912653,58731373
52769271,2774881,51343843,50711490,4331913,50237107
14116368,6039405,15163759,28437643,55850715,6376015
57523356,62715859,53501421,74496917,35723184,74824252
74989061,74496917,11239836,75301142,42644889,74860089
46193718,16766952,25696258,14313154,26029929,50253867
66138337,75837832,55719951,56799621,72217122,76161572
13918145,38151960,38144690,8159799,8023300,1714729
15388586,51571587,19408798,14069536,10777563,31602057
21313534,11914559,16385902,66578633,74907707,72679390
5050641,26288854,3953455,48701295,4252075,20276836
47499193,13151476,13151574,56612173,53611551,75643830
54616635,21313534,74907707,16385902,2883909,1044890
21353546,595655,50227423,588800,11241055,28736624
49337807,28252100,47321729,45661782,60030176,48493605
73187624,72014868,74853592,71656427,72455227,72728356
1011522,10576733,643138,4897521,25770121,14785024
26289675,2001029,51510460,3524487,53639147,51511070
69238917,54894940,51668332,43017581,19772753,49658272
22105532,26029837,4953357,7494785,26708402,74561265
70823216,19907399,71934115,70847754,25404882,72634099
515551,361277,36189537,515550,360660,122012
67262554,7817447,46623654,71892315,68100167,68025746
24989957,1714729,19800169,8159799,8023300,38151960
10386686,13367716,10282851,45168294,72127109,44607240
20919759,58473284,19336345,20997191,38215482,52093852
361279,16385902,1044890,11241055,361277,11891181
40737659,8826583,22153584,52220154,47516974,34557311
74215680,73980687,58566938,54935451,75840202,79239706
21299202,8141868,51668230,51668332,58363324,43017581
16980141,53250152,48464389,67564992,6734149,2063013
37503894,71938293,19242072,57524517,7383363,12716267
3171419,14785024,2860621,50326880,1097744,8326109
50326880,2860621,73987485,3171419,8326109,1097744
52846433,46621334,72928043,37834745,52333193,14438455
2775643,13302966,32933095,10724668,10680458,11834620
73173832,22596017,10777563,68823075,23476288,55469774
24989503,1714729,19800169,8159799,8023300,24989957
8378816,11239836,379462,356791,375565,556556
7383363,37503894,57524517,28571379,80850379,12716267
359483,360660,199828,359480,359484,10140056
11387160,11241055,11436297,11575714,11449535,11452489
45842739,450192,43349411,66622335,7770389,14990454
72679390,11241055,11914559,1044890,16385902,21313534
6039457,6009539,28437643,6010061,6376015,6039405
6196013,63912442,56458881,66541696,36710007,54487123
19772753,43017581,51668230,51668332,69238917,49658272
72308418,73315307,73179180,1501767,72307761,72308191
21310789,68025746,10282851,13367716,45168294,38762682
1097744,2860621,3171419,8326109,73987485,50326880
54002739,23518127,53056161,53080935,294065,58340599
44611291,72127109,44607240,8470266,22159161,73821826
43742273,104180,376848,55892148,63572345,375565
356791,45268753,379462,8378816,375565,556556
5371673,32111995,68358114,3922389,2669195,7734288
75574549,59168467,73117254,73116940,74141526,74623725
25696258,66708181,10671551,50253867,58326163,14313154
4810215,74247140,53896395,21017060,70772235,48102821
13119283,10860173,13745119,7614405,56515226,22028042
310917,233129,55897,11891181,41147065,310993
70116493,52631369,59238709,71934115,55035537,73612703
79965318,52889826,46695756,54406343,75551911,56365197
57333148,4281649,13580400,21134184,13145075,19242072
16221071,38072358,26315122,311940,33164951,10706160
75186039,74853592,73187624,72728356,73768914,72455227
55905713,25732951,1044890,3953455,16385902,4252075
104180,41791430,556556,375565,359492,25487999
42515085,54406343,22413470,25749035,74247140,70772235
77619027,76826691,74810915,72471606,74750613,72946423
13745119,65074378,71655498,7614405,56515226,2927891
360660,359483,515550,36189537,122012,515551
